SecurityCode,StockName
00637L,元大滬深300正2  
00882,中信中國高股息  
00680L,元大美債20正2   
6139,亞翔            
00665L,富邦恒生國企正2 
00662,富邦NASDAQ      
052739,上銀統一49購01  
2330,台積電          
00688L,國泰20年美債正2 
00929,復華台灣科技優息
2892,第一金          
2891,中信金          
2317,鴻海            
00715L,期街口布蘭特正2 
9105,泰金寶-DR       
1504,東元            
054674,宏達電元大4A購02
05378P,臺股指元大48售06
045703,中砂統一4A購02  
2606,裕民            
071081,鴻準群益48購03  
00951,台新日本半導體  
00650L,復華香港正2     
058327,長榮群益47購02  
08169P,台灣50元大4A售18
2385,群光            
2408,南亞科          
5876,上海商銀        
00830,國泰費城半導體  
060098,中砂富邦48購01  
064587,T50反1中信4C購02
054216,鴻海凱基4A購01  
068644,仁寶統一52購01  
00633L,富邦上証正2     
6869,雲豹能源        
00946,群益科技高息成長
4915,致伸            
3231,緯創            
075532,元日2X凱基55購01
068358,上銀富邦4C購01  
078680,道瓊銀元大4A購02
068673,鴻準永豐4B購02  
069482,緯創元大48購05  
4938,和碩            
2809,京城銀          
3576,聯合再生        
076535,嘉澤元大49購09  
009803,保德信市值動能50
08287P,南亞科國票4B售01
079004,新日興富邦4C購01
070186,中鴻統一51購02  
079412,新日興凱基4A購03
082696,台光電凱基4C購03
076969,漢翔國票4A購03  
060848,中砂永豐48購01  
3376,新日興          
1513,中興電          
067988,富世達國票48購01
2383,台光電          
00639,富邦深100       
069457,道瓊銀元大4B購01
3017,奇鋐            
6213,聯茂            
2344,華邦電          
00915,凱基優選高股息30
05250P,臺股指富邦48售01
065008,玉晶光國票49購01
00655L,國泰中國A50正2  
052837,萬海元大49購03  
03663B,臺股指元大48熊02
06992P,牧德國票49售01  
08060P,元金2X元大51售01
3045,台灣大          
031388,京元電統一46購01
063579,中砂凱基48購01  
074390,威盛國票4A購01  
071484,中砂永豐49購01  
4904,遠傳            
03974C,臺股指凱基55牛06
076578,嘉澤國泰4A購02  
054805,臺指反國票48購01
072775,致茂群益49購02  
053978,皇昌凱基48購02  
3450,聯鈞            
072412,致茂富邦48購01  
00686R,群益臺灣加權反1 
00936,台新永續高息中小
047428,南亞科統一4C購01
2368,金像電          
073479,迎廣國票49購01  
3013,晟銘電          
047246,上銀統一4C購01  
2836,高雄銀          
072532,遠傳群益4A購01  
050926,世芯元富59購01  
048254,精銳統一54購01  
065128,宏泰群益48購01  
064577,上銀元富4C購04  
083010,融程電國票4C購01
3056,富華新          
081540,世芯國票4C購01  
065382,訊連群益4B購01  
06474P,智邦群益4C售01  
07428P,元黃金國票52售01
078112,訊連元大51購01  
07641P,南亞科群益4B售02
00934,中信成長高股息  
07173P,奇鋐元大48售11  
00924,復華S&P500成長  
6443,元晶            
065598,海華國票49購01  
069405,群創統一52購02  
00757,統一FANG+       
009801,中信美國創新科技
00941,中信上游半導體  
062088,全新元大4C購01  
063275,上銀統一4C購02  
00909,國泰數位支付服務
069404,群創統一52購01  
083417,新日興兆豐51購01
061488,中砂國泰48購01  
3665,貿聯-KY         
082189,辛耘國票4C購01  
082671,亞航國票4C購03  
00885,富邦越南        
063758,台灣50元富46購21
048904,華擎統一48購01  
080409,智原富邦4B購03  
00738U,期元大道瓊白銀  
03655U,台積電凱基4C售45
047063,信錦元富48購01  
03958C,元債2X元大51牛02
2308,台達電          
083744,來億國票51購01  
03032U,台積電統一53售09
057060,中砂元大49購01  
2449,京元電子        
054247,T50反1富邦54購01
068264,T50反1凱基49購05
033376,鴻海統一48購04  
057389,神達統一4B購02  
00636,國泰中國A50     
082847,智易元大4C購01  
049895,矽力統一48購05  
060595,日電貿元大49購01
076851,喬山元大49購02  
07354P,南亞科凱基48售03
069653,臺指反元大4B購01
065040,金像電元大4C購01
073864,智易元大49購01  
009800,中信NASDAQ      
076070,全訊統一53購02  
3406,玉晶光          
1215,卜蜂            
08929P,光聖國票4B售02  
065631,亞航群益49購01  
064672,台積電元大4A購06
078589,世芯元大54購02  
08667P,元日2X凱基52售01
068020,中興電元大4A購01
077908,訊連元大4C購01  
048591,鴻準元富48購02  
07585P,南亞科凱基4A售03
2329,華泰            
1514,亞力            
6591,動力-KY         
081907,聯鈞元大4B購04  
078199,聯發科元大51購09
040275,台積電元大46購04
084208,辛耘元富4C購02  
073255,道瓊銀元富49購03
065872,緯穎永豐47購08  
077901,世芯元大4A購07  
00670L,富邦NASDAQ正2   
00930,永豐ESG低碳高息 
082116,辛耘凱基4B購01  
076258,華邦電群益49購08
078105,世芯元大4A購09  
8028,昇陽半導體      
6919,康霈*           
03205U,南亞科元大4B售05
064568,健鼎國票47購01  
054575,零壹統一4C購02  
07948P,嘉澤元大49售10  
077654,承業醫群益4B購01
042883,晟銘電統一4B購01
00923,群益台ESG低碳50 
03665B,臺股指元大4A熊02
066405,晟銘電國票4A購02
081807,智易富邦4C購02  
07836P,穎崴元大49售03  
065586,道瓊銀國票51購01
075508,喬山統一55購01  
053936,華城統一4A購02  
071053,富世達中信48購01
063250,智原元大4B購01  
075763,世芯群益49購15  
064400,聯茂國泰47購01  
063926,道瓊銀國票4A購01
082824,台達電富邦4C購01
06604P,精成科國票48售02
071568,華邦電凱基4A購01
078024,連加凱基4A購01  
071028,新日興統一5A購02
067306,保瑞群益47購05  
3040,遠見            
07886P,元黃金元大51售01
068556,上証2X國票4B購01
06757P,臺股指群益4A售11
058836,智原統一4B購04  
067569,台達電富邦49購01
037473,勤誠統一4A購01  
077370,漢翔富邦4B購01  
081330,台達電統一54購01
069210,亞翔統一52購02  
074597,神達元大49購05  
05880P,臺股指元大4C售02
03475U,金像電國票51售02
077909,訊連元大4C購02  
056921,中石化群益4A購01
056339,元債2X凱基4C購03
081264,漢唐國票4C購02  
047490,T50反1元富48購01
070018,為升元富49購01  
040365,鴻海統一49購07  
065811,大立光國票48購01
065307,京元電統一51購01
077722,訊連國票4C購01  
060713,智邦群益48購02  
067384,嘉澤富邦48購03  
083896,玉晶光元富4C購02
083444,嘉澤元大52購02  
05324P,川湖統一49售04  
9907,統一實          
07545P,南亞科統一49售01
079885,元金2X元富52購01
6285,啟碁            
079685,東陽元大4A購01  
2404,漢唐            
083412,精成科富邦52購02
00902,中信電池及儲能  
00752,中信中國50      
072254,智原元大51購03  
065322,玉晶光統一51購02
053735,南電統一4A購01  
083271,世芯富邦52購02  
084141,晟銘電元大4C購04
068144,辛耘富邦4C購01  
074781,道瓊銀元大51購01
078500,世芯元大4A購14  
065456,華城國票48購01  
057085,創意元大4B購02  
073606,景碩元富49購02  
00693U,期街口S&P黃豆   
063049,東陽國泰48購01  
064067,智原元大4A購03  
056713,世芯元大49購04  
00893,國泰智能電動車  
079560,智易元大4A購02  
6669,緯穎            
081387,嘉澤元大54購02  
078750,元金2X凱基51購04
065498,長榮鋼永豐47購01
3052,夆典            
073437,東陽永豐4A購01  
084475,辛耘元大4C購03  
065340,東哥統一55購02  
080512,虎航統一55購01  
03313U,國泰金群益4C售01
075896,玉晶光富邦4A購03
059941,奇鋐國票46購04  
063915,臺指反中信4C購02
060565,上証2X元大49購01
034457,萬海統一55購01  
1802,台玻            
075465,緯穎元大4C購03  
050658,南亞科兆豐49購01
077021,台玻群益49購03  
082724,來億元大4C購01  
08573P,長榮元大4A售20  
071660,奇鋐凱基56購01  
050308,雷虎統一59購01  
2913,農林            
06025P,東陽凱基48售01  
064454,新日興元大49購02
071107,臺指反元大4A購02
03266U,晟銘電凱基4C售02
058207,仁寶元富4B購01  
06393P,智邦群益4A售02  
065285,穎崴永豐49購01  
082153,華航元大4B購03  
076335,元債2X國票51購01
083296,新日興元大4C購04
081943,FB臺反國票51購01
080924,光聖元富4B購02  
2646,星宇航空        
048991,奇鋐元富48購02  
079549,廣宇元大4A購02  
082431,泰金寶國票4C購01
077138,智原元大4A購04  
069749,穎崴元富48購02  
081730,世紀鋼統一49購01
056430,嘉澤群益47購02  
059943,緯創國票46購07  
055545,零壹統一4A購01  
045979,景碩統一4C購01  
047546,T50反1中信47購01
066429,嘉澤統一57購02  
072086,東科群益4A購01  
073964,元金反國票59購01
068886,楠梓電元富49購01
07806P,群創凱基4A售04  
1612,宏泰            
040585,大立光統一4A購01
047255,偉詮電統一4C購01
051937,萬海統一59購01  
069726,精成科兆豐4A購01
060055,聯發科凱基48購03
07696P,緯穎元富49售08  
056358,貿聯凱基4A購01  
060519,漢唐凱基4C購02  
069918,健策元大48購08  
00971,野村美國研發龍頭
058708,世芯國票47購09  
07728P,南亞科元富4A售05
070181,富世達富邦4A購01
068363,文曄富邦4A購01  
076388,T50反1國泰4B購01
3167,大量            
064282,台光電元大46購17
080357,東陽元大4B購04  
077621,亞翔富邦4A購03  
6962,奕力-KY         
052103,萬海群益47購01  
064547,迅得富邦4A購01  
077381,永光永豐4B購01  
059504,新日興永豐47購01
0061,元大寶滬深      
070922,聯茂凱基48購01  
076338,京城國票4A購01  
00892,富邦台灣半導體  
4551,智伸科          
079039,長榮凱基53購01  
059604,神基統一4B購01  
076036,健策富邦49購02  
08609P,台積電元大4A售69
06664P,聯發科富邦51售03
07707P,富邦金元大49售02
070518,矽格統一51購01  
074552,世芯群益49購13  
083689,智原富邦4C購02  
083011,聯鈞國票51購02  
1524,耿鼎            
077591,智原元大4B購05  
062343,智原元大4A購01  
070115,晟銘電元大48購01
068193,科妍元富48購01  
080396,士電統一48購01  
055715,中502X元大46購03
07965P,聯發科元大49售15
079661,台灣50元富54購03
075420,元日2X元大57購01
082924,飛捷永豐4C購01  
03355U,智邦元大4C售03  
2353,宏碁            
07148P,晟銘電永豐49售02
009804,聯邦台精彩50    
2421,建準            
069117,穎崴元大48購04  
045972,華航統一48購01  
080253,緯穎元大4C購09  
061864,緯穎群益48購05  
00895,富邦未來車      
064293,智原元大4B購02  
075991,鴻海元大49購06  
077552,喬山元大4A購03  
071921,矽格統一52購01  
081927,微星凱基4B購01  
074106,大量群益4C購01  
080353,聯鈞凱基4B購01  
083975,智易元大4C購02  
074309,智原元富4A購04  
00960,野村全球航運龍頭
062977,華航元大4B購02  
078960,玉晶光群益52購01
069214,台灣50元富48購05
082658,南電元富4C購01  
5469,瀚宇博          
077139,智易元大49購03  
009808,華南永昌優選50  
084148,貿聯元大4C購07  
075417,元日2X元大54購01
075460,亞翔元大49購13  
080326,聯鈞群益4B購01  
068960,神基富邦4A購01  
076057,愛普永豐49購01  
055717,中502X元大47購02
081908,聯鈞元大4B購05  
069673,健策元大48購05  
00664R,國泰臺灣加權反1 
076020,富世達元大49購10
076720,漢翔元大4C購01  
00916,國泰全球品牌50  
2357,華碩            
075570,南亞科元大49購17
067212,玉晶光凱基47購05
057078,萬海元大49購04  
080766,智易國泰4C購01  
08889P,智原元大4B售13  
00939,統一台灣高息動能
062325,川湖元大49購03  
08722P,聯鈞國票4C售02  
6805,富世達          
070919,新日興凱基48購03
068171,富世達統一5A購01
03515U,奇鋐國票51售03  
076012,迎廣元大49購03  
047898,世紀鋼兆豐48購01
039746,臺指反中信46購01
043809,緯創國票47購01  
08939P,智原群益4C售04  
083840,金像電群益4C購05
083518,台泥群益4C購01  
072543,滬深2X凱基51購02
076874,漢翔元大51購02  
049865,皇昌統一51購01  
078208,訊連元大54購01  
07081P,奇鋐元大48售09  
073799,台灣50元富49購11
076447,台灣50元富49購30
080959,貿聯群益4B購04  
06378P,臺股指元富4B售03
069475,長榮元大49購05  
06177P,台積電凱基5C售02
2537,聯上發          
082841,華航元大4C購03  
062890,亞光元富4A購01  
08765P,聯發科元大4B售14
069212,昇陽半統一54購02
080033,立積國票4C購02  
075438,南亞科元大51購01
076002,南亞科元大53購02
083742,洋基國票51購01  
06943P,台積電元大48售22
050306,雷虎統一53購01  
068170,富世達統一54購02
06748P,台光電永豐49售02
081911,佳必琪元大4B購01
067189,達興統一53購03  
075389,新日興群益49購04
00954,中信日本半導體  
076638,鴻海凱基49購15  
069428,國巨群益48購02  
058444,長榮永豐48購01  
046451,德律統一48購01  
08545P,世芯凱基53售01  
047114,文曄統一47購01  
080277,啟碁富邦51購01  
080592,世芯元大52購06  
2601,益航            
077131,漢翔元大53購02  
078207,訊連元大4A購02  
06004P,貿聯國票47售03  
077590,智原元大4B購04  
063695,全新永豐4C購01  
075827,南亞科元大51購03
07210P,台積電元大48售48
06955P,台積電元大48售27
07111P,台積電元大48售44
050507,東陽第一48購01  
072362,台灣50元富48購15
051713,T50反1元大49購01
080799,世芯元大51購15  
2369,菱生            
07310P,台積電元大48售51
082590,健策元大4C購01  
08922P,台積電元大4B售24
03145U,台積電元大4B售29
