Code,Name
00679B,元大美債20年
00687B,國泰20年美債
00687C,國泰20年美債+櫃U
00694B,富邦美債1-3
00695B,富邦美債7-10
00696B,富邦美債20年
00697B,元大美債7-10
00718B,富邦中國政策債
00719B,元大美債1-3
00720B,元大投資級公司債
00722B,群益投資級電信債
00723B,群益投資級科技債
00724B,群益投資級金融債
00725B,國泰投資級公司債
00726B,國泰新興投等債
00727B,國泰優選非投等債
00734B,台新JPM新興債
00740B,富邦全球投等債
00741B,富邦全球非投等債
00746B,富邦A級公司債
00749B,凱基新興債10+
00750B,凱基科技債10+
00751B,元大AAA至A公司債
00754B,群益AAA-AA公司債
00755B,群益投資級公用債
00756B,群益投等新興公債
00758B,復華能源債
00759B,復華製藥債
00760B,復華新興企業債
00761B,國泰A級公司債
00764B,群益25年美債
00768B,復華20年美債
00772B,中信高評級公司債
00773B,中信優先金融債
00777B,凱基AAA至A公司債
00778B,凱基金融債20+
00779B,凱基美債25+
00780B,國泰A級金融債
00781B,國泰A級科技債
00782B,國泰A級公用債
00785B,富邦金融投等債
00786B,元大10年IG銀行債
00787B,元大10年IG醫療債
00788B,元大10年IG電能債
00789B,復華公司債A3
00791B,復華信用債1-5
00792B,群益A級公司債
00793B,群益AAA-A醫療債
00794B,群益7+中國政金債
00795B,中信美國公債20年
00799B,國泰A級醫療債
00834B,第一金金融債10+
00836B,永豐10年A公司債
00840B,凱基IG精選15+
00841B,凱基AAA-AA公司債
00842B,台新美元銀行債
00844B,新光15年IG金融債
00845B,富邦新興投等債
00846B,富邦歐洲銀行債
00847B,中信美國市政債
00848B,中信新興亞洲債
00849B,中信EM主權債0-5
00853B,統一美債10年Aa-A
00856B,永豐1-3年美公債
00857B,永豐20年美公債
00858,永豐美國500大
00859B,群益0-1年美債
00860B,群益1-5Y投資級債
00862B,中信投資級公司債
00863B,中信全球電信債
00864B,中信美國公債0-1
00867B,新光A-BBB電信債
00870B,元大15年EM主權債
00877,復華中國5G
00883B,中信ESG投資級債
00884B,中信低碳新興債
00886,永豐美國科技
00887,永豐中國科技50大
00888,永豐台灣ESG
00890B,凱基ESG BBB債15+
00928,中信上櫃ESG 30
00931B,統一美債20年
00933B,國泰10Y+金融債
00937B,群益ESG投等債20+
00942B,台新美A公司債20+
00948B,中信優息投資級債
00950B,凱基A級公司債
00955,中信日本商社
00957B,兆豐US優選投等債
00958B,永豐ESG銀行債15+
00959B,大華投等美債15Y+
00966B,統一ESG投等債15+
00967B,元大優息美債
00968B,元大優息投等債
00969B,元大零息超長美債
00970B,新光BBB投等債20+
00980B,台新特選IG債10+
00981B,第一金優選非投債
00982B,FT投資級債20+
00983B,大華優利美公債20
00984B,大華優利美A債15
1240,茂生農經
1259,安心
1264,德麥
1268,漢來美食
1294,漢田生技
1295,生合
1336,台翰
1565,精華
1569,濱川
1570,力肯
1580,新麥
1584,精剛
1586,和勤
1591,駿吉-KY
1593,祺驊
1595,川寶
1599,宏佳騰
1742,台蠟
1777,生泰
1781,合世
1784,訊聯
1785,光洋科
1788,杏昌
1796,金穎生技
1799,易威
1813,寶利徠
1815,富喬
02001B,統一美國政府債N
2035,唐榮
2061,風青
2063,世鎧
2064,晉椿
2065,世豐
2066,世德
2067,嘉鋼
2070,精湛
2073,雄順
2221,大甲
2230,泰茂
2235,謚源
2596,綠意
2640,大車隊
2641,正德
2643,捷迅
2718,全心投控
2719,燦星旅
2724,藝舍-KY
2726,雅茗-KY
2729,瓦城
2732,六角
2734,易飛網
2736,富野
2740,天蔥
2743,山富
2745,五福
2751,王座
2752,豆府
2754,亞洲藏壽司
2755,揚秦
2756,聯發國際
2916,滿心
2924,宏太-KY
2926,誠品生活
2937,集雅社
2941,米斯特
2947,振宇五金
2948,寶陞
2949,欣新網
3064,泰偉
3066,李洲
3067,全域
3071,協禧
