SecurityCode,IndustryCode,CompanyName,SpecialShares,NormalShares,PrivateShares
1101,01,臺灣水泥股份有限公司,200000000,7551181742,0
1102,01,亞洲水泥股份有限公司,0,3546562881,0
1103,01,嘉新水泥股份有限公司,0,790247459,0
1104,01,環球水泥股份有限公司,0,686681816,0
1108,01,幸福水泥股份有限公司,0,404738049,0
1109,01,信大水泥股份有限公司,0,341158868,0
1110,01,東南水泥股份有限公司,0,572000797,0
1201,02,味全食品工業股份有限公司,0,506062914,0
1203,02,味王股份有限公司,0,240000000,0
1210,02,大成長城企業股份有限公司,0,894767222,0
1213,02,大西洋飲料股份有限公司,0,56622627,0
1215,02,台灣卜蜂企業股份有限公司,0,294790098,0
1216,02,統一企業股份有限公司,0,5682015421,0
1217,02,愛之味股份有限公司,0,494513336,0
1218,02,泰山企業股份有限公司,0,499999038,0
1219,02,福壽實業股份有限公司,0,341238364,0
1220,02,台榮產業股份有限公司,0,177077944,0
1225,02,福懋油脂股份有限公司,0,242268306,0
1227,02,佳格食品股份有限公司,0,915089591,0
1229,02,聯華實業控股股份有限公司,0,1795960668,0
1231,02,聯華食品工業股份有限公司,0,298454475,0
1232,02,大統益股份有限公司,0,159974915,0
1233,02,天仁茶業股份有限公司,0,90591948,0
1234,02,黑松股份有限公司,0,401871094,0
1235,02,興泰實業股份有限公司,0,188577836,0
1236,02,宏亞食品股份有限公司,0,86674008,0
1256,02,鮮活控股股份有限公司,0,35772160,0
1301,03,台灣塑膠工業股份有限公司,0,6365740781,0
1303,03,南亞塑膠工業股份有限公司,0,7930821589,0
1304,03,台灣聚合化學品股份有限公司,0,1188763500,0
1305,03,華夏海灣塑膠股份有限公司,0,581050494,0
1307,03,三芳化學工業股份有限公司,0,397818126,0
1308,03,亞洲聚合股份有限公司,0,593743919,0
1309,03,台達化學工業股份有限公司,0,397586848,0
1310,03,台灣苯乙烯工業股份有限公司,0,527869764,0
1312,03,國喬石油化學股份有限公司,20000000,1106620328,0
1313,03,聯成化學科技股份有限公司,0,1330846107,0
1314,03,中國石油化學工業開發(股)公司,0,3784850130,0
1315,03,達新工業股份有限公司,0,99099000,0
1316,14,上曜建設開發股份有限公司,0,368531186,0
1319,12,東陽實業廠股份有限公司,0,591477068,0
1321,03,大洋塑膠工業股份有限公司,0,227228268,0
1323,03,永裕塑膠工業股份有限公司,0,91274554,0
1324,03,地球綜合工業股份有限公司,0,75121882,0
1325,03,恒大股份有限公司,0,85281198,0
1326,03,台灣化學纖維股份有限公司,0,5861186291,0
1337,03,亞洲塑膠再生資源控股有限公司,0,268954729,0
1338,12,廣華控股有限公司,0,83840000,0
1339,12,昭輝實業股份有限公司,0,74123875,0
1340,03,勝悅新材料有限公司,0,152922855,0
1341,03,富林塑膠工業(開曼)控股(股)公司,0,52850634,0
1342,20,八貫企業股份有限公司,0,78000902,0
1402,04,遠東新世紀股份有限公司,0,5352875227,0
1409,04,新光合成纖維股份有限公司,0,1618409286,0
1410,04,南洋染整股份有限公司,0,62000000,0
1413,04,宏洲纖維工業股份有限公司,0,132112454,30000000
1414,04,東和紡織股份有限公司,0,198000000,0
1416,20,廣豐實業股份有限公司,0,185342168,0
1417,04,嘉裕股份有限公司,0,189941840,0
1418,04,東華龍股份有限公司,0,56834309,10000000
1419,04,新光紡織股份有限公司,0,300041280,0
1423,04,利華羊毛工業股份有限公司,0,99648000,0
1432,37,大魯閣實業股份有限公司,0,108000000,18000000
1434,04,福懋興業股份有限公司,0,1684664637,0
1435,20,中福國際(股)公司,0,139780080,0
1436,14,華友聯開發股份有限公司,0,194151795,0
1437,20,勤益投資控股股份有限公司,0,203371284,0
1438,14,三地開發地產股份有限公司,0,111205759,20000000
1439,14,雋揚國際股份有限公司,0,92000000,0
1440,04,臺南紡織股份有限公司,0,1656815857,0
1441,04,大東紡織股份有限公司,0,71744387,28024542
1442,14,名軒開發股份有限公司,0,366211358,0
1443,20,立益物流開發股份有限公司,0,135343011,0
1444,04,力麗企業股份有限公司,0,995595059,0
1445,04,大宇紡織股份有限公司,0,130666034,0
1446,04,宏和精密紡織股份有限公司,0,137709513,0
1447,04,力鵬企業股份有限公司,0,910071242,0
1449,04,佳和實業股份有限公司,0,127114572,0
1451,04,年興紡織股份有限公司,0,198000000,0
1452,04,宏益纖維工業股份有限公司,0,132641400,0
1453,14,大將開發股份有限公司,0,113243048,0
1454,04,台灣富綢纖維股份有限公司,0,129833848,0
1455,04,集盛實業股份有限公司,0,531688380,0
1456,14,怡華實業股份有限公司,0,93720000,0
1457,04,宜進實業股份有限公司,0,316730022,0
1459,04,聯發紡織纖維股份有限公司,0,358628907,0
1460,04,宏遠興業股份有限公司,0,694643484,0
1463,04,強盛新投資控股股份有限公司,0,173268381,0
1464,04,得力實業股份有限公司,0,425575733,0
1465,04,偉全實業股份有限公司,0,103607267,0
1466,04,聚隆纖維股份有限公司,0,111157320,0
1467,04,南緯實業股份有限公司,0,233624667,65414906
1468,04,昶和纖維興業股份有限公司,0,160405244,0
1470,04,大統新創股份有限公司,0,85767000,0
1471,28,首利實業股份有限公司,0,150414536,5000000
1472,14,三洋實業股份有限公司,0,52488082,17500000
1473,04,台南企業股份有限公司,0,146153534,0
