English,Chinese
Date,日期
SecurityCode,證券代號
StockName,證券名稱
TradeVolume,成交股數
Transaction,成交筆數
TradeValue,成交金額
OpeningPrice,開盤價
HighestPrice,最高價
LowestPrice,最低價
ClosingPrice,收盤價
Change,漲跌
LastBestBidPrice,最後揭示買價
LastBestBidVolume,最後揭示買量
LastBestAskPrice,最後揭示賣價
LastBestAskVolume,最後揭示賣量
PriceEarningratio,本益比
MarginPurchase,融資買進
MarginSales,融資賣出
CashRedemption,融資現金償還
MarginPurchaseBalanceOfPreviousDay,融資前日餘額
MarginPurchaseBalanceOfTheDay,融資當日餘額
MarginPurchaseQuotaForTheNextDay,融資隔日限額
ShortCovering,融券買進
ShortSale,融券賣出
StockRedemption,融券現券償還
ShortSaleBalanceOfPreviousDay,融券前日餘額
ShortSaleBalanceOfTheDay,融券當日餘額
ShortSaleQuotaForTheNextDay,融券隔日限額
OffsettingOfMarginPurchasesAndShortSales,資券互抵
Note,註記
